Date,Open,High,Low,Close,Adj Close,Volume
2010-09-21,870.000000,877.000000,857.049988,870.849976,695.093811,43928
2010-09-22,879.000000,888.000000,860.000000,863.549988,689.267029,73564
2010-09-23,869.000000,871.900024,850.099976,861.750000,687.830505,40949
2010-09-24,855.000000,871.000000,851.000000,859.200012,685.795044,45498
2010-09-27,861.099976,878.400024,852.250000,862.750000,688.628601,44113
2010-09-28,865.000000,865.000000,838.099976,844.150024,673.782471,78096
2010-09-29,847.000000,853.950012,806.099976,819.200012,653.867920,184236
2010-09-30,828.700012,843.500000,821.099976,830.500000,662.887268,67806
2010-10-01,839.000000,849.000000,830.150024,835.250000,666.678650,38172
2010-10-04,835.000000,852.799988,817.200012,826.599976,659.774414,58978
2010-10-05,818.000000,884.750000,818.000000,850.299988,678.691162,128336
2010-10-06,859.900024,898.000000,859.799988,873.900024,697.528320,260474
2010-10-07,880.049988,888.000000,855.000000,859.950012,686.393738,55351
2010-10-08,850.000000,870.000000,846.000000,851.750000,679.848633,54272
2010-10-11,863.000000,874.799988,857.500000,865.250000,690.624023,90247
2010-10-12,866.000000,870.000000,851.500000,855.849976,683.121033,33685
2010-10-13,856.000000,870.000000,856.000000,868.650024,693.337830,44059
2010-10-14,870.000000,888.000000,855.000000,856.799988,683.879456,75798
2010-10-15,862.000000,867.000000,852.000000,858.650024,685.356018,75692
2010-10-18,859.000000,862.000000,849.000000,854.450012,682.003662,60567
2010-10-19,864.000000,870.000000,841.500000,849.700012,678.212280,48937
2010-10-20,864.950012,912.200012,857.000000,873.599976,697.288757,318443
2010-10-21,875.000000,880.000000,865.049988,874.650024,698.126892,67892
2010-10-22,879.000000,894.000000,868.700012,871.250000,695.413147,73231
2010-10-25,874.000000,878.000000,861.799988,869.299988,693.856628,54927
2010-10-26,873.799988,873.799988,858.000000,861.450012,687.590942,33508
2010-10-27,840.000000,867.900024,840.000000,864.750000,690.224976,105672
2010-10-28,867.000000,899.000000,867.000000,882.599976,704.472412,288962
2010-10-29,888.000000,895.799988,855.000000,874.549988,698.047180,68321
2010-11-01,884.000000,972.000000,865.000000,931.099976,743.183960,754296
2010-11-02,937.599976,944.000000,912.400024,919.599976,734.005066,275407
2010-11-03,915.000000,949.000000,915.000000,932.400024,744.221680,268976
2010-11-04,940.000000,942.000000,926.150024,934.349976,745.778137,96556
2010-11-08,945.000000,948.000000,930.099976,932.400024,744.221680,55048
2010-11-09,937.200012,950.000000,930.049988,938.000000,748.691467,57485
2010-11-10,936.000000,941.500000,925.049988,929.799988,742.146423,35487
2010-11-11,932.049988,943.049988,903.049988,907.349976,724.227356,98545
2010-11-12,893.750000,934.750000,893.750000,898.549988,717.203308,86164
2010-11-15,914.000000,914.000000,876.000000,881.349976,703.474731,93432
2010-11-16,876.000000,891.900024,866.750000,869.299988,693.856628,73112
2010-11-18,875.000000,885.000000,854.299988,870.150024,694.535095,62233
2010-11-19,867.950012,877.849976,855.049988,861.900024,687.950134,35238
2010-11-22,865.950012,874.900024,861.000000,870.900024,695.133728,71319
2010-11-23,878.000000,916.500000,850.000000,889.099976,709.660522,229056
2010-11-24,896.000000,904.950012,874.500000,875.650024,698.925110,67791
2010-11-25,875.150024,884.849976,850.099976,859.299988,685.874878,162492
2010-11-26,860.400024,876.000000,827.000000,855.150024,682.562378,139447
2010-11-29,856.000000,872.450012,835.049988,857.200012,684.198669,74069
2010-11-30,857.000000,861.650024,842.500000,858.150024,684.956970,92006
2010-12-01,856.349976,899.900024,850.000000,893.900024,713.491882,99491
2010-12-02,912.000000,912.000000,885.000000,887.400024,708.303711,22681
